subway_name,latitude,longitude
苹果园,39.92502736157113,116.17161786972272
古城,39.90592708218545,116.18412132764924
八角游乐园,39.906192041432604,116.20674787573644
八宝山,39.906048181774814,116.22978525204505
玉泉路,39.90611723898782,116.24700389432836
五棵松,39.90659997523045,116.2679811876928
万寿路,39.906179047226814,116.28911037689453
公主坟,39.90615477124372,116.30367350918374
军事博物馆,39.906161129486435,116.31788996768763
木樨地,39.90630004991342,116.33129172053532
南礼士路,39.90584484585068,116.34640808930043
复兴门,39.90580542901474,116.35034848736959
西单,39.90604438293637,116.36804330272453
天安门西,39.90606334275531,116.38549367704128
天安门东,39.9063241813207,116.39540472604894
王府井,39.9066222211707,116.40532117359298
东单,39.90679026437477,116.41167749265526
建国门,39.9071388299273,116.42959904836331
永安里,39.90703304914777,116.4443099264543
国贸,39.90781566563354,116.45575834483189
大望路,39.907229896587076,116.47100149026235
四惠,39.907480776458804,116.48943745594805
四惠东,39.90734227515588,116.50938209201863
北京站,39.903572629595885,116.42104477882896
崇文门,39.89958020975625,116.41064749755458
前门,39.89855553911538,116.39171525926972
和平门,39.898693915127424,116.37794673700178
宣武门,39.89827521615786,116.36808714951849
长椿街,39.89825676164341,116.35686059968414
阜成门,39.92203313631735,116.34978961128941
车公庄,39.930885785226685,116.3496171611858
西直门,39.93907953066731,116.34927346964328
积水潭,39.947345524320966,116.3669666020827
鼓楼大街,39.94640831038294,116.38759044297414
安定门,39.94772333452372,116.40205275189223
雍和宫,39.947858821110394,116.41072724808058
东直门,39.93974944769087,116.42744510232059
东四十条,39.9324781807258,116.42778997927576
朝阳门,39.92356104330565,116.42839304370463
安河桥北,40.01062753064397,116.26393741267371
北宫门,40.00112117017161,116.2716350914962
西苑,39.997077992997625,116.28485741212654
圆明园,39.99821468978922,116.30357630840531
北京大学东门,39.99085560216583,116.30978654619415
中关村,39.98255245233614,116.31036566922172
海淀黄庄,39.974345974831884,116.31145861530446
人民大学,39.966100528898636,116.31522772250858
魏公村,39.956508899772054,116.31715573507233
国家图书馆,39.94189872058235,116.31906294809325
动物园,39.93687158129114,116.33265804879476
新街口,39.93912709822485,116.36156827323789
平安里,39.932276735089474,116.36666852601368
西四,39.92319358380394,116.36718396252593
灵境胡同,39.914701893996416,116.36752790280988
菜市口,39.888069129307176,116.36770272133373
陶然亭,39.8771526039311,116.36813269319106
北京南站,39.863463023549535,116.37306371927902
马家堡,39.851843512262796,116.36505026270514
角门西,39.844546256760104,116.36492262792898
公益西桥,39.83564209854022,116.36462378527018
天通苑北,40.081981054741554,116.40671582771412
天通苑,40.073805283974124,116.40684571027535
天通苑南,40.064905862655664,116.40667507646704
立水桥,40.051669272881135,116.40598968607829
立水桥南,40.040435599199405,116.40839605558763
北苑路北,40.02910238073781,116.41179073456465
大屯路东,40.00239886171114,116.41108538772093
惠新西街北口,39.98610874645732,116.41081900715375
惠新西街南口,39.97559490324016,116.41121767997295
和平西桥,39.967130994150146,116.41172885864937
和平里北街,39.95700700274877,116.41226442713247
北新桥,39.939460985147065,116.41063167438816
张自忠路,39.93225931444537,116.41090642373507
东四,39.92297026860396,116.41125527194482
灯市口,39.91581729397952,116.4115501594637
磁器口,39.89172519689695,116.41249156679528
天坛东门,39.88166855371503,116.41459925456488
蒲黄榆,39.864270862730734,116.415334539544
刘家窑,39.85625257542505,116.41589948097223
宋家庄,39.84440098292421,116.42215902866981
海淀五路居,39.93134726012283,116.2707220700865
慈寿寺,39.931833988325344,116.28910717367624
花园桥,39.9310933987936,116.30400763229513
白石桥南,39.93171660239479,116.31934254149772
车公庄西,39.93112938820013,116.33781187732752
北海北,39.93187329198088,116.38046172667656
南锣鼓巷,39.931732208886636,116.39700019963246
东大桥,39.921528112922815,116.44552638969326
呼家楼,39.92186979817834,116.45569737915197
金台路,39.921529783851355,116.4719956646893
十里堡,39.921852659273796,116.49589748157196
青年路,39.92199136018344,116.51160922730179
褡裢坡,39.922956224258684,116.55762596626265
黄渠,39.92312182769224,116.57241934983126
常营,39.9247178765317,116.59375380093822
草房,39.923382354555386,116.60966799454117
俸伯,40.13139976067498,116.67896170334993
顺义,40.12913175835097,116.65094240922771
石门,40.12875636559495,116.63546274013271
南法信,40.12733897032241,116.6036147113103
后沙峪,40.113010710826,116.5583980981371
花梨坎,40.08331018094225,116.55180168422308
国展,40.06905507844555,116.5493197478099
孙河,40.043998250987656,116.52871095294675
马泉营,40.03255227216976,116.49781147318305
崔各庄,40.02096118391411,116.48687089114388
望京,39.997402832225056,116.4636583944241
望京西,39.994631083516396,116.44540684984094
张郭庄,39.85703730570304,116.1810293040888
园博园,39.85997723298248,116.1958293596218
大瓦窑,39.858367902453864,116.2335496188163
郭庄子,39.86316423287636,116.24711652597428
大井,39.863980699127346,116.27027492925305
七里庄,39.86628150999184,116.28815407873743
西局,39.865218419415164,116.2983037468991
泥洼,39.85705355274224,116.29831011966435
丰台站,39.848590165578806,116.29893756544726
首经贸,39.843155170930714,116.31409776562711
纪家庙,39.843097251731535,116.32711960953121
草桥,39.84459242126262,116.34497575513048
角门西,39.84456065489792,116.36493601772189
角门东,39.84375020139223,116.37872553858203
大红门,39.843974562856715,116.39259379688193
石榴庄,39.844504316948594,116.40775538564814
成寿寺,39.844508774128656,116.4412360828882
分钟寺,39.850530712269105,116.44781883451655
十里河,39.86447611018031,116.45286891023392
潘家园,39.87414270461799,116.45462719250641
劲松,39.88310953091998,116.45518030249252
双井,39.8922310119051,116.45548587302264
金台夕照,39.91538609647811,116.45569819731438
团结湖,39.93240046533273,116.4557229555292
